experiment,image,backend,scale_px_per_mm,status,n_gt_px,n_auto_px,under_px,over_px,under_cov_frac,over_cov_frac,patch_area_err_pct,dice,iou,area_gt_mm2,area_auto_mm2,area_rel_err,cri_lambda3,under_cov_mm2,over_cov_mm2,hausdorff_mm,avg_surf_dist_mm,perimeter_gt_mm,perimeter_auto_mm,compactness_gt,compactness_auto,bbox_gt_major_mm,bbox_gt_minor_mm,bbox_auto_major_mm,bbox_auto_minor_mm,aspect_ratio_gt,aspect_ratio_auto,bbox_auto_x_mm,bbox_auto_y_mm,signed_area_err_pct,under_pct,over_pct,is_outlier
A,case_146,Watershed,,ok,6352.0,6085.0,279.0,12.0,0.043923,0.001889,4.2,0.9766,0.9543,6352.0,6085.0,0.042,0.1337,,,2.21,0.999,284.23,278.87,0.9881,0.9833,100.79,77.95,98.49,75.14,0.7734,0.7629,75.14,98.49,-4.2034005037783375,4.3923,0.1889,False
A,case_147,SAM,,ok,6581.0,6268.0,418.0,105.0,0.063516,0.015955,4.76,0.9593,0.9218,6581.0,6268.0,0.0476,0.2065,,,7.297,1.617,302.35,302.31,0.9047,0.8618,116.48,76.29,115.75,74.6,0.655,0.6445,74.6,115.75,-4.756116091779365,6.3516,1.5955000000000001,False
A,case_147,GrabCut,,ok,6581.0,6786.0,185.0,390.0,0.028111,0.059262,3.12,0.957,0.9175,6581.0,6786.0,0.0312,0.1436,,,5.88,1.807,302.35,300.84,0.9047,0.9422,116.48,76.29,112.54,80.14,0.655,0.7121,80.14,112.54,3.1150281112292966,2.8111,5.926200000000001,False
A,case_147,Watershed,,ok,6581.0,6648.0,285.0,352.0,0.043306,0.053487,1.02,0.9518,0.9081,6581.0,6648.0,0.0102,0.1834,,,4.926,1.524,302.35,308.31,0.9047,0.8789,116.48,76.29,117.63,78.52,0.655,0.6675,78.52,117.63,1.0180823583042091,4.3306,5.3487,False
A,case_148,SAM,,ok,5493.0,5170.0,329.0,6.0,0.059894,0.001092,5.88,0.9686,0.9391,5493.0,5170.0,0.0588,0.1808,,,2.343,1.254,254.59,246.94,1.065,1.0654,82.46,79.8,79.66,77.71,0.9677,0.9756,77.71,79.66,-5.880211177862734,5.9894,0.1092,False
A,case_148,GrabCut,,ok,5493.0,5261.0,252.0,20.0,0.045877,0.003641,4.22,0.9747,0.9507,5493.0,5261.0,0.0422,0.1413,,,1.47,0.88,254.59,250.08,1.065,1.0571,82.46,79.8,81.02,78.37,0.9677,0.9672,78.37,81.02,-4.223557254687785,4.5877,0.36410000000000003,False
A,case_148,Watershed,,ok,5493.0,5083.0,415.0,5.0,0.075551,0.00091,7.46,0.9603,0.9236,5493.0,5083.0,0.0746,0.2276,,,1.861,1.115,254.59,248.56,1.065,1.0339,82.46,79.8,80.28,78.14,0.9677,0.9734,78.14,80.28,-7.464045148370653,7.5550999999999995,0.091,False
A,case_149,SAM,,ok,772.0,697.0,80.0,5.0,0.103627,0.006477,9.72,0.9421,0.8906,772.0,697.0,0.0972,0.3174,,,1.976,1.026,91.63,84.78,1.1556,1.2185,34.82,22.96,32.14,21.34,0.6595,0.6639,21.34,32.14,-9.71502590673575,10.3627,0.6477,False
A,case_149,GrabCut,,ok,772.0,715.0,59.0,2.0,0.076425,0.002591,7.38,0.959,0.9212,772.0,715.0,0.0738,0.2319,,,1.232,0.664,91.63,86.94,1.1556,1.1887,34.82,22.96,32.48,22.43,0.6595,0.6905,22.43,32.48,-7.383419689119171,7.642500000000001,0.2591,False
A,case_149,Watershed,,ok,772.0,617.0,155.0,0.0,0.200777,0.0,20.08,0.8884,0.7992,772.0,617.0,0.2008,0.6023,,,4.207,1.732,91.63,79.21,1.1556,1.2358,34.82,22.96,28.49,21.7,0.6595,0.7619,21.7,28.49,-20.077720207253886,20.0777,0.0,False
A,case_150,SAM,,ok,9254.0,8819.0,520.0,85.0,0.056192,0.009185,4.7,0.9665,0.9352,9254.0,8819.0,0.047,0.1778,,,6.666,1.469,354.29,347.77,0.9264,0.9163,135.96,89.09,135.89,83.6,0.6553,0.6152,135.89,83.6,-4.700669980548952,5.6192,0.9185000000000001,False
A,case_150,GrabCut,,ok,9254.0,9725.0,131.0,602.0,0.014156,0.065053,5.09,0.9614,0.9256,9254.0,9725.0,0.0509,0.1075,,,4.776,1.9,354.29,368.84,0.9264,0.8983,135.96,89.09,143.49,93.87,0.6553,0.6542,143.49,93.87,5.089690944456452,1.4156,6.5053,False
A,case_150,Watershed,,ok,9254.0,9270.0,376.0,392.0,0.040631,0.04236,0.17,0.9585,0.9204,9254.0,9270.0,0.0017,0.1643,,,7.289,2.174,354.29,369.13,0.9264,0.8549,135.96,89.09,138.8,97.31,0.6553,0.7011,138.8,97.31,0.17289820618111088,4.0631,4.236,False
